date,views,likes,comments
2026-06-21T09:55:24Z,1554240,12635,184
2026-06-22T12:11:14Z,1554799,12636,184
2026-06-23T09:48:04Z,1555199,12635,184
2026-06-24T09:37:16Z,1555644,12633,184
2026-06-25T09:28:43Z,1556213,12638,184
2026-06-26T09:33:40Z,1556813,12641,184
2026-06-27T23:12:38Z,1558088,12648,183
2026-06-28T08:57:30Z,1558352,12652,183
2026-06-29T11:07:10Z,1559090,12655,183
2026-06-30T09:43:11Z,1559666,12659,183
2026-07-01T09:54:58Z,1560482,12672,183
2026-07-02T09:17:57Z,1561193,12681,183
